datetime,author,body
1225408876645761025,Khabarhub_Eng,"China scrambles to find beds for virus patients as deaths hit 563
https://t.co/8cwaB4U9xW
#Khabarhub #China… https://t.co/zVbrdmWdbw"
1225408873730723840,_Jaabee,"RT @weatherindia: #CoronavirusOutbreak | Number of deaths spike to 565; more than 28,000 confirmed cases in China

Read: https://t.co/PpWmT…"
1225408844567896065,WoodyW00dlegger,"RT @aslamkhanbombay: Another major Chinese city has been placed on lockdown. In some districts, only one person per household is permitted…"
1225408823206150144,deCASSNI,"RT @QuickTake: Here’s how the #coronavirus has spread globally: 🇨🇳🇹🇭🇯🇵🇰🇷🇹🇼🇺🇸🇭🇰🇸🇬🇻🇳🇳🇵🇫🇷🇦🇺🇲🇾🇨🇦🇰🇭🇱🇰🇩🇪🇦🇪🇮🇳🇵🇭🇫🇮🇬🇧🇮🇹🇪🇸🇸🇪🇷🇺
#CoronavirusOutbreak h…"
1225408803002126336,StepFeed,"If a Saudi citizen is caught violating the kingdom's restrictions, they would be penalized; expats won't be allowed… https://t.co/dCs4lcitrC"
1225408732399570946,NPSusa,"RT @livemint: #CoronavirusOutbreak | China virus claims 560 lives, Beijing lashes out at travel curbs

Latest updates here: https://t.co/rI…"
1225408716259786752,Pray_forHK,"RT @IsChinar: The woman was shopping for food, and suddenly the virus went viral.

 The dishes can't be eaten.  🥺🥺🥺🥺

#coronavirus #Coronav…"
1225408714397536258,BlackIrishI,"RT @IsChinar: Had this sent to me...its said to be wuhan, more arson I suppose🤷‍♂️

#coronavirus #CoronavirusOutbreak #CoronavirusWho #coro…"
1225408685301624832,bagussunarto25,"RT @IsChinar: That mysterious smoke they are spraying everywhere is impairing driving 

#coronavirus #CoronavirusOutbreak #CoronavirusWho #…"
1225408680092262405,ezzuldotco,"RT @QuickTake: Here’s how the #coronavirus has spread globally: 🇨🇳🇹🇭🇯🇵🇰🇷🇹🇼🇺🇸🇭🇰🇸🇬🇻🇳🇳🇵🇫🇷🇦🇺🇲🇾🇨🇦🇰🇭🇱🇰🇩🇪🇦🇪🇮🇳🇵🇭🇫🇮🇬🇧🇮🇹🇪🇸🇸🇪🇷🇺
#CoronavirusOutbreak h…"
1225408649683664896,katarina19623,RT @CGTNOfficial: #CoronavirusOutbreak: Iranian children in China and couple in Italy cheer for China https://t.co/Mlwwjc0uzS
1225408597103800320,4whannaleerubl,"RT @CriticalCezanne: Feb 6: HKGOV’s refusal to shut down borders with China brings new wave of #HongKongProtests.

Sai Wan residents protes…"
1225408589067501568,jo_joycf,"RT @hkerdede: @BrianKolfage When it’s related to GLOBAL safety, thats not an issue of #HongKong only. Communist China is threatening the wo…"
1225408587557523458,TimmyYwung,"RT @CriticalCezanne: Feb 6: HKGOV’s refusal to shut down borders with China brings new wave of #HongKongProtests.

Sai Wan residents protes…"
1225408502014906370,RockyRoad506,RT @Baltahji: #corononavirus can survive 5 up to days in a natural environment (as most scientists says) so money becomes a dangerous thing…
1225408480036651008,mablum,RT @BritonsHK: #CoronavirusOutbreak is imminent in Hong Kong as we note the first death and rising local cases. What is @DominicRaab’s evac…
1225408471056519169,kangaroolooloo,"RT @CriticalCezanne: Feb 6: HKGOV’s refusal to shut down borders with China brings new wave of #HongKongProtests.

Sai Wan residents protes…"
1225408448516329473,Spartac40060489,"RT @ajmm19923493: While news coverage in #HongKong focuses on #CoronavirusOutbreak, don’t forget we’re still battling w/ #PoliceBrutality.…"
1225408432246837251,rafael_manzo,"RT @QuickTake: Here’s how the #coronavirus has spread globally: 🇨🇳🇹🇭🇯🇵🇰🇷🇹🇼🇺🇸🇭🇰🇸🇬🇻🇳🇳🇵🇫🇷🇦🇺🇲🇾🇨🇦🇰🇭🇱🇰🇩🇪🇦🇪🇮🇳🇵🇭🇫🇮🇬🇧🇮🇹🇪🇸🇸🇪🇷🇺
#CoronavirusOutbreak h…"
1225408406111997953,JohnSmi26294397,"RT @CriticalCezanne: Feb 6: HKGOV’s refusal to shut down borders with China brings new wave of #HongKongProtests.

Sai Wan residents protes…"
1225408353230368768,KingofFree,"If you have to be quarantined, being stuck on a cruise ship isn't the worst place it could happen.

#coronavirus 
#CoronavirusOutbreak"
1225408352454234112,ainjmjk,"RT @QuickTake: Here’s how the #coronavirus has spread globally: 🇨🇳🇹🇭🇯🇵🇰🇷🇹🇼🇺🇸🇭🇰🇸🇬🇻🇳🇳🇵🇫🇷🇦🇺🇲🇾🇨🇦🇰🇭🇱🇰🇩🇪🇦🇪🇮🇳🇵🇭🇫🇮🇬🇧🇮🇹🇪🇸🇸🇪🇷🇺
#CoronavirusOutbreak h…"
1225408309974503424,macon_peek,"RT @CancerTruthNews: 20 Million Quarantined as “Deadly” #Coronavirus Reaches the U.S. So what's really going on? 

Let me tell you ---&gt; htt…"
