NetflixFR,1220024003403878409,2020-01-22 16:42:44,"b""@teubstone C'est en pr\xc3\xa9paration."""
NetflixFR,1220023887439765504,2020-01-22 16:42:16,"b'@wesh_pd Prochainement pour Love, Death &amp; Robots. Pour Jojo, on attend que Dio nous laisse tranquille pour avoir les droits.'"
NetflixFR,1220023355744628737,2020-01-22 16:40:09,b'@bmw_barba Toujours pas de saucisse.'
NetflixFR,1220017225735819269,2020-01-22 16:15:48,b'@DiegosTunes C\xe2\x80\x99\xc3\xa9tait lundi.'
NetflixFR,1220017178507993088,2020-01-22 16:15:36,b'@StromTn Pas d\xe2\x80\x99infos sur une saison 2.'
NetflixFR,1220016107991506944,2020-01-22 16:11:21,"b'Le prochain film de Jean-Pierre Jeunet, qui a r\xc3\xa9alis\xc3\xa9 entre autres \xe2\x80\x9cLe Fabuleux Destin d\xe2\x80\x99Am\xc3\xa9lie Poulain\xe2\x80\x9d, sera un f\xe2\x80\xa6 https://t.co/ocYl5R6L4g'"
NetflixFR,1220003520117645315,2020-01-22 15:21:20,b'@noyonce_ Vois avec @Netflixhelps pour ce genre de soucis !'
NetflixFR,1220001677165637633,2020-01-22 15:14:01,"b""@Romybrd11 La saison 4 n'est pas encore produite."""
NetflixFR,1220001506180714497,2020-01-22 15:13:20,b'@hubertgriffe La mythologie nordique : Ragnar\xc3\xb6k arrive la semaine prochaine.\nLa mythologie grecque : Kaos arrive prochainement.'
NetflixFR,1220000661376512002,2020-01-22 15:09:58,"b""@katapultamere Toujours pas, mais on l'annonce d\xc3\xa8s que c'est pr\xc3\xaat."""
NetflixFR,1220000592812224512,2020-01-22 15:09:42,"b'@PsndAlex Malheureusement, non.'"
NetflixFR,1220000408690659329,2020-01-22 15:08:58,b'@Oce_blger Bient\xc3\xb4t !'
NetflixFR,1219983476889473029,2020-01-22 14:01:41,"b""@lucimorningstxr We announced that Studio Ghibli's movies are coming to Netflix."""
NetflixFR,1219983327404396546,2020-01-22 14:01:06,"b""@CurtosTardos C'\xc3\xa9tait lundi."""
NetflixFR,1219983176359194624,2020-01-22 14:00:30,"b""@BriceObams Mais c'est toujours pr\xc3\xa9vu pour cette ann\xc3\xa9e."""
NetflixFR,1219983128812539904,2020-01-22 14:00:18,"b'@Roms7106 Bient\xc3\xb4t, bient\xc3\xb4t...'"
NetflixFR,1219953009939111936,2020-01-22 12:00:37,"b'@Antoine_gbr Le 1er mars, Antoine. Le film fait parti de la 2\xc3\xa8me vague pour les films Ghibli.'"
NetflixFR,1219952620615409665,2020-01-22 11:59:05,b'@Raph_AB Tout \xc3\xa0 fait !'
NetflixFR,1219952289189892097,2020-01-22 11:57:46,"b""@Buru_Art Les droits, comme d'hab !"""
NetflixFR,1219952223427465217,2020-01-22 11:57:30,"b""@WeemaelsR Les catalogues sont diff\xc3\xa9rents selon le pays o\xc3\xb9 tu te trouves, c'est donc diff\xc3\xa9rent entre la France et la Belgique."""
NetflixFR,1219951143931064320,2020-01-22 11:53:12,"b""@WeemaelsR Tu dis \xc3\xa7a parce que tu n'es s\xc3\xbbrement pas en France."""
NetflixFR,1219951062737719296,2020-01-22 11:52:53,"b'@EvoraBvll Essaie de regarder de nouvelles choses, tu trouveras peut-\xc3\xaatre ta prochaine s\xc3\xa9rie pr\xc3\xa9f\xc3\xa9r\xc3\xa9e...\n\nOn peut te conseiller si tu veux.'"
NetflixFR,1219950075117555712,2020-01-22 11:48:58,"b'@bzh_helio Comme tu peux le voir, non. Pas ce mois-ci.'"
NetflixFR,1219950034843815936,2020-01-22 11:48:48,"b""@paulinelelievr7 En 2020, Pauline. On annoncera une date d\xc3\xa8s qu'elle arrivera des Enfers."""
NetflixFR,1219949072154533889,2020-01-22 11:44:59,"b'@Flotov135x2 Non, la saison 3 arrive le 27 mars.'"
NetflixFR,1219948383386902531,2020-01-22 11:42:14,"b'@Tayeb87057232 Cette ann\xc3\xa9e pour The Order, Tayeb.'"
NetflixFR,1219948143518896131,2020-01-22 11:41:17,"b""@Zodz_nz Quand la saison 4 aura \xc3\xa9t\xc3\xa9 tourn\xc3\xa9e, mont\xc3\xa9e, et tout ce qui va avec. Ce qui n'est pas le cas..."""
NetflixFR,1219948039621808128,2020-01-22 11:40:52,"b""@JoceDamoonrock C'est pr\xc3\xa9vu comme les saisons 5 et 6."""
NetflixFR,1219947824227528704,2020-01-22 11:40:01,"b""@mxrotini On n'a pas d'infos sur Spinning Out, pour l'instant."""
NetflixFR,1219946592863686657,2020-01-22 11:35:07,"b'@Arobasequentin Et si tu essayais de nouvelles choses ? Comme les Ghibli si tu ne les as jamais vu, comme Locke &amp; K\xe2\x80\xa6 https://t.co/C93PefMprz'"
NetflixFR,1219946187102531591,2020-01-22 11:33:31,"b""@GhostOfVante Tout n'est pas dans le calendrier."""
NetflixFR,1219945999579389953,2020-01-22 11:32:46,"b""@vivalik IL VA Y AVOIR UNE DEUXI\xc3\x88ME SAISON D'ALTERED CARBON, OUI."""
NetflixFR,1219945911494828032,2020-01-22 11:32:25,"b""@GyzmoFwi D\xc3\xa8s qu'on a les droits."""
NetflixFR,1219945774391463937,2020-01-22 11:31:52,"b""@MatteoSurvival On l'a annonc\xc3\xa9 ce lundi, on va avoir tous les films du Studio Ghibli."""
NetflixFR,1219945647102742529,2020-01-22 11:31:22,"b""@Oceanechrr Regarde dans l'agenda, Oc\xc3\xa9ane."""
NetflixFR,1219945592740352000,2020-01-22 11:31:09,"b""@bbhskzbutnokind C'est normal, \xc3\xa7a n'arrive pas tout de suite. Le temps de produire la saison, tout \xc3\xa7a."""
