datetime,author,body
1306041560149221377,GoogleRetweet,"RT @ardito_bryan: Value at Risk on GOOG Stock, 10k simulation for the following confidence intervals.
.90: -0.1471
.95: -0.2146
.99: -0.326…"
1306041482772652035,ardito_bryan,"Value at Risk on GOOG Stock, 10k simulation for the following confidence intervals.
.90: -0.1471
.95: -0.2146
.99:… https://t.co/wnBsErHZN5"
1305986315276648448,TradingSurfers,"RT @TradingSurfers: S&amp;P 500 CFD Update 📉

We might be starting the B leg of a triangle 4 here. We might then be in green sub-micro W4 inste…"
1305976508843012097,GoogleRetweet,"RT @tq_equities: $GOOG still stuck within tight trading range: https://t.co/X4wHOYzY95
Sentiment: Neutral #GOOG #Google"
1305976427427360773,tq_equities,"$GOOG still stuck within tight trading range: https://t.co/X4wHOYzY95
Sentiment: Neutral #GOOG #Google"
1305948774792130574,LarvaeSoft,"Using research &amp; quantitative data, Google’s emoji team is able to inform design practices &amp; product decisions. Lea… https://t.co/oN7al3PVNB"
1305934447003357184,EricaArsenal,"RT @ArastooFazeli: Chart of #GOOG 

$GOOG bounced from its channel support from March low. Low of last week is critical to hold.

#FB #AMZN…"
1305911399181418497,reevbreskin,"RT @ArastooFazeli: Chart of #GOOG 

$GOOG bounced from its channel support from March low. Low of last week is critical to hold.

#FB #AMZN…"
1305911283208744960,ArastooFazeli,"Chart of #GOOG 

$GOOG bounced from its channel support from March low. Low of last week is critical to hold.

#FB… https://t.co/9Nc5CNTgVw"
1305904208407740416,es_tradingview,#GOOG - GOOGLE COMPRA - TradingView - https://t.co/GH6pWWPVTB
1305902748341358600,redbird_57,"RT @TradingSurfers: S&amp;P 500 CFD Update 📉

We are in a resistance area. 
Running triangle could be invalidated today.

#Elliottwave #stockst…"
1305902468103122946,redbird_57,"RT @TradingSurfers: S&amp;P 500 CFD Update 📉

We might be starting the B leg of a triangle 4 here. We might then be in green sub-micro W4 inste…"
1305901708317347842,JasonSwitch7,"Your #free #stock is waiting for you! Join #Robinhood and we'll both get a stock like #Apple, #Ford, or #Facebook f… https://t.co/68GJUPYbSn"
1305899169194807296,Aarthi69897119,"RT @winvesta: Invest in US stocks from India. Zero fees, Zero commission, Zero hassle. Open an account in minutes and start building your g…"
1305892554861244419,ArastooFazeli,"Chart of #AAPL 

$AAPL is getting close to 120.50 level resistance and needs to break this important resistance (bo… https://t.co/M27UZCmiWO"
1305854030393081864,TradingSurfers,"S&amp;P 500 CFD Update 📉

We might be starting the B leg of a triangle 4 here. We might then be in green sub-micro W4 i… https://t.co/vkuqI58ed6"
1305796008207699968,TradingSurfers,"S&amp;P 500 CFD Update 📉

We are in a resistance area. 
Running triangle could be invalidated today.

#Elliottwave… https://t.co/g5LjNAbyaB"
1305740784935661569,splendiloquent1,"RT @SpiderMan_3s: $QQQ

Interestingly 

#FB
#AMZN
#NFLX
#Google
#NVDA
#MSFT

--- All closed @ lows of the day

But
As usual, two stocks, di…"
1305718877045829632,GoogleRetweet,"RT @SpiderMan_3s: $QQQ

Interestingly 

#FB
#AMZN
#NFLX
#Google
#NVDA
#MSFT

--- All closed @ lows of the day

But
As usual, two stocks, di…"
1305718859975008256,SpiderMan_3s,"$QQQ

Interestingly 

#FB
#AMZN
#NFLX
#Google
#NVDA
#MSFT

--- All closed @ lows of the day

But
As usual, two stoc… https://t.co/hewPcHAXJZ"
1305602287801434113,GoogleRetweet,"RT @tq_equities: $GOOG closes below its opening price unable to hold early session gains: https://t.co/KpHgNVVOuQ
Sentiment: Neutral #GOOG…"
1305602223393722368,tq_equities,"$GOOG closes below its opening price unable to hold early session gains: https://t.co/KpHgNVVOuQ
Sentiment: Neutral #GOOG #Google"
1305598464622034944,PeeblesAryi,"From search engine optimization and local SEO to web design and content marketing, everything we do is designed to… https://t.co/pp3uN1wm55"
1305509944750493696,f37stockx,"Just bought $AAPL as the stock reached the support zone. 
#AAPL $MAIN #MAIN $M #M $KO #KO $LTC #LTC $GOOG #GOOG $KO… https://t.co/f9IBrRQNB6"
1305479092154884100,merrymenhunter,"Michael Burry is buying call options.
He sold 75% of his positions and purchased call options on the following.… https://t.co/mDvGaN2LYN"
1305266370871926785,LYNtheLight,"RT @radioactinium: $KCAC QuantumScape SPAC
1. Produces electric vehicle’s Solid-state lithium batteries.
2. Extend battery storage capacity…"
1305266189074132993,JeffreyAWillia4,"RT @radioactinium: $KCAC QuantumScape SPAC
1. Produces electric vehicle’s Solid-state lithium batteries.
2. Extend battery storage capacity…"
1305265974409654274,Gambiste1,"RT @radioactinium: $KCAC QuantumScape SPAC
1. Produces electric vehicle’s Solid-state lithium batteries.
2. Extend battery storage capacity…"
1305258534485934080,radioactinium,"$KCAC QuantumScape SPAC
1. Produces electric vehicle’s Solid-state lithium batteries.
2. Extend battery storage cap… https://t.co/wiy9zAs9Cz"
1305233982506762240,scottlegrand,@VidaVakil @centeredcss @Google #GOOG doesn't feed their employees anymore? That was the best thing about them unle… https://t.co/goFB8kzMnD
1305232858286415872,scottlegrand,@centeredcss @VidaVakil @Google WHAAAAAAAAT???? My 4 months at #GOOG were more suicidal ideation-inducing than the… https://t.co/VO6164WCY3
1305149429834543104,abhibisht89,RT @AIApparelStore: What's up with this tee! #datascience #artificialintelligence #machinelearning #ai #ml #cloudcomputing #googlecloudplat…
1305149384590581765,NVSData,RT @AIApparelStore: What's up with this tee! #datascience #artificialintelligence #machinelearning #ai #ml #cloudcomputing #googlecloudplat…
1305149048211615752,ThomasClone_US,RT @AIApparelStore: What's up with this tee! #datascience #artificialintelligence #machinelearning #ai #ml #cloudcomputing #googlecloudplat…
1305149023725260802,AIApparelStore,What's up with this tee! #datascience #artificialintelligence #machinelearning #ai #ml #cloudcomputing… https://t.co/tnzN9m37Bh
1305130482640838659,winner_trader,$GOOG Potential Short opportunity targeting 1289 SL 1670 - #GOOG TradingView https://t.co/poY9cp9LZH
1305103025518804992,InvestmentJuan,More advanced investors and traders don't only focus on local stocks. They also have exposures in global markets.… https://t.co/oAq1mHePVe
1305038154479566848,hobluvdisc,"RT @fairyjnkk: goog

#bts #btsfanart #jungkook #jungkookfanart #goog https://t.co/160WrvQY0T"
1305037609413079040,fairyjnkk,"goog

#bts #btsfanart #jungkook #jungkookfanart #goog https://t.co/160WrvQY0T"
1304946540960645120,mvazirani1,@Amy_Siskind California is the home of #remdesivir #ElectricVehicles #aapl #goog #cvx which literally saved the dec… https://t.co/fyc1ePpVYZ
1304908244628975621,Gambiste1,"RT @radioactinium: $KCAC QuantumScape SPAC
1. Produces electric vehicle’s Solid-state lithium batteries.
2. Extend battery storage capacity…"
1304906760742862849,radioactinium,"$KCAC QuantumScape SPAC
1. Produces electric vehicle’s Solid-state lithium batteries.
2. Extend battery storage cap… https://t.co/LPc9lKlIDb"
1304884925703876609,c_labrinos,"RT @SpiderMan_3s: $GOOG- Daily

Fibonacci levels
From Recent Highs
To March lows

Fri Close = 1520

78% = 1579
SMA 50 = 1541
61% = 1458
50%…"
1304883319084122112,SpiderMan_3s,"$GOOG- Daily

Fibonacci levels
From Recent Highs
To March lows

Fri Close = 1520

78% = 1579
SMA 50 = 1541
61% = 14… https://t.co/ImJ2GdddAN"
1304863086948438016,radioactinium,@ACInvestorBlog It just looks like $GRAF Graf had soared after initial pump and dump🚀🚀 $GRAF $TLSA $APPLE $SPAC… https://t.co/4o3VxyI0zu
